"112年06月29日 外資及陸資買賣超彙總表"
"",,,"外資及陸資(不含外資自營商)",,,"外資自營商",,,"外資及陸資",,,
"","證券代號","證券名稱","買進股數","賣出股數","買賣超股數","買進股數","賣出股數","買賣超股數","買進股數","賣出股數","買賣超股數",
" ","1736  ","喬山            ","1,240,000","116,000","1,124,000","0","0","0","1,240,000","116,000","1,124,000",
" ","2449  ","京元電子        ","6,345,500","5,225,000","1,120,500","0","0","0","6,345,500","5,225,000","1,120,500",
" ","4106  ","雃博            ","2,146,000","1,054,000","1,092,000","0","0","0","2,146,000","1,054,000","1,092,000",
" ","2867  ","三商壽          ","1,714,545","641,000","1,073,545","0","0","0","1,714,545","641,000","1,073,545",
" ","2104  ","國際中橡        ","1,702,000","637,000","1,065,000","0","0","0","1,702,000","637,000","1,065,000",
" ","2607  ","榮運            ","1,187,000","183,000","1,004,000","0","0","0","1,187,000","183,000","1,004,000",
" ","3356  ","奇偶            ","3,924,000","2,921,000","1,003,000","0","0","0","3,924,000","2,921,000","1,003,000",
" ","2474  ","可成            ","2,844,000","1,855,007","988,993","0","0","0","2,844,000","1,855,007","988,993",
" ","4960  ","誠美材          ","1,266,000","326,497","939,503","0","0","0","1,266,000","326,497","939,503",
" ","9958  ","世紀鋼          ","2,644,000","1,718,000","926,000","0","0","0","2,644,000","1,718,000","926,000",
" ","2206  ","三陽工業        ","3,772,000","2,890,906","881,094","0","0","0","3,772,000","2,890,906","881,094",
" ","3033  ","威健            ","1,267,000","386,000","881,000","0","0","0","1,267,000","386,000","881,000",
" ","1609  ","大亞            ","4,381,000","3,507,000","874,000","0","0","0","4,381,000","3,507,000","874,000",
" ","6770  ","力積電          ","3,674,100","2,828,000","846,100","0","0","0","3,674,100","2,828,000","846,100",
" ","2382  ","廣達            ","11,439,789","10,681,371","758,418","0","0","0","11,439,789","10,681,371","758,418",
" ","2485  ","兆赫            ","1,009,000","253,000","756,000","0","0","0","1,009,000","253,000","756,000",
" ","8110  ","華東            ","1,607,000","852,000","755,000","0","0","0","1,607,000","852,000","755,000",
" ","3591  ","艾笛森          ","1,212,000","462,000","750,000","0","0","0","1,212,000","462,000","750,000",
" ","3029  ","零壹            ","953,000","236,000","717,000","0","0","0","953,000","236,000","717,000",
" ","5521  ","工信            ","793,000","78,000","715,000","0","0","0","793,000","78,000","715,000",
" ","6415  ","矽力*-KY        ","2,039,083","1,339,575","699,508","0","0","0","2,039,083","1,339,575","699,508",
" ","1612  ","宏泰            ","865,000","167,000","698,000","0","0","0","865,000","167,000","698,000",
" ","1102  ","亞泥            ","2,203,236","1,508,000","695,236","0","0","0","2,203,236","1,508,000","695,236",
" ","6153  ","嘉聯益          ","3,568,000","2,877,000","691,000","0","0","0","3,568,000","2,877,000","691,000",
