"112年06月29日 外資及陸資買賣超彙總表"
"",,,"外資及陸資(不含外資自營商)",,,"外資自營商",,,"外資及陸資",,,
"","證券代號","證券名稱","買進股數","賣出股數","買賣超股數","買進股數","賣出股數","買賣超股數","買進股數","賣出股數","買賣超股數",
" ","8114  ","振樺電          ","122,000","14,000","108,000","0","0","0","122,000","14,000","108,000",
" ","2617  ","台航            ","199,000","97,000","102,000","0","0","0","199,000","97,000","102,000",
" ",="043047","大成鋼法興2A購01","195,000","94,000","101,000","0","0","0","195,000","94,000","101,000",
" ","1219  ","福壽            ","300,000","199,000","101,000","0","0","0","300,000","199,000","101,000",
" ",="036153","聯詠法興28購02  ","100,000","0","100,000","0","0","0","100,000","0","100,000",
" ",="040239","聯詠法興29購01  ","100,000","0","100,000","0","0","0","100,000","0","100,000",
" ",="043053","聯發科法興2A購01","231,000","131,000","100,000","0","0","0","231,000","131,000","100,000",
" ","6706  ","惠特            ","128,000","28,000","100,000","0","0","0","128,000","28,000","100,000",
" ","6781  ","AES-KY          ","368,020","271,002","97,018","0","0","0","368,020","271,002","97,018",
" ","3046  ","建碁            ","570,000","474,000","96,000","0","0","0","570,000","474,000","96,000",
" ",="00757 ","統一FANG+       ","120,005","24,100","95,905","0","0","0","120,005","24,100","95,905",
" ","3019  ","亞光            ","349,000","253,312","95,688","0","0","0","349,000","253,312","95,688",
" ",="043060","同欣電法興2A購01","92,000","0","92,000","0","0","0","92,000","0","92,000",
" ",="06677U","臺股指法興2B售10","99,000","7,000","92,000","0","0","0","99,000","7,000","92,000",
" ","1540  ","喬福            ","92,000","0","92,000","0","0","0","92,000","0","92,000",
" ","3652  ","精聯            ","276,000","184,000","92,000","0","0","0","276,000","184,000","92,000",
" ","2836  ","高雄銀          ","125,000","35,000","90,000","0","0","0","125,000","35,000","90,000",
" ","6715  ","嘉基            ","98,000","8,000","90,000","0","0","0","98,000","8,000","90,000",
" ","1733  ","五鼎            ","128,000","39,000","89,000","0","0","0","128,000","39,000","89,000",
" ","3296  ","勝德            ","106,000","17,000","89,000","0","0","0","106,000","17,000","89,000",
" ","6205  ","詮欣            ","110,000","23,000","87,000","0","0","0","110,000","23,000","87,000",
" ","2543  ","皇昌            ","120,000","34,000","86,000","0","0","0","120,000","34,000","86,000",
" ","4942  ","嘉彰            ","89,000","5,000","84,000","0","0","0","89,000","5,000","84,000",
" ","2023  ","燁輝            ","399,000","316,000","83,000","0","0","0","399,000","316,000","83,000",
" ","1720  ","生達            ","500,000","418,000","82,000","0","0","0","500,000","418,000","82,000",
" ","1310  ","台苯            ","207,000","126,000","81,000","0","0","0","207,000","126,000","81,000",
" ","3031  ","佰鴻            ","125,000","44,000","81,000","0","0","0","125,000","44,000","81,000",
" ","5906  ","台南-KY         ","167,000","86,000","81,000","0","0","0","167,000","86,000","81,000",
" ","6168  ","宏齊            ","180,000","99,000","81,000","0","0","0","180,000","99,000","81,000",
" ",="047128","長榮凱基2C購14  ","80,000","0","80,000","0","0","0","80,000","0","80,000",
" ","8072  ","陞泰            ","519,000","439,000","80,000","0","0","0","519,000","439,000","80,000",
" ","8201  ","無敵            ","89,000","9,000","80,000","0","0","0","89,000","9,000","80,000",
" ",="031551","新唐法興28購01  ","156,000","78,000","78,000","0","0","0","156,000","78,000","78,000",
" ",="044001","鴻海法興2B購01  ","78,000","0","78,000","0","0","0","78,000","0","78,000",
" ","1525  ","江申            ","217,000","142,000","75,000","0","0","0","217,000","142,000","75,000",
" ","2417  ","圓剛            ","97,000","22,000","75,000","0","0","0","97,000","22,000","75,000",
" ","3563  ","牧德            ","275,000","200,000","75,000","0","0","0","275,000","200,000","75,000",
" ","5285  ","界霖            ","156,000","81,000","75,000","0","0","0","156,000","81,000","75,000",
" ","5607  ","遠雄港          ","194,000","119,000","75,000","0","0","0","194,000","119,000","75,000",
" ",="041999","聯詠法興2A購01  ","74,000","0","74,000","0","0","0","74,000","0","74,000",
" ",="048426","日月光法興2C購01","230,000","156,000","74,000","0","0","0","230,000","156,000","74,000",
" ","2342  ","茂矽            ","112,000","38,000","74,000","0","0","0","112,000","38,000","74,000",
" ","1445  ","大宇            ","83,000","10,000","73,000","0","0","0","83,000","10,000","73,000",
" ","1316  ","上曜            ","123,000","51,000","72,000","0","0","0","123,000","51,000","72,000",
" ","4572  ","駐龍            ","360,000","289,000","71,000","0","0","0","360,000","289,000","71,000",
" ","6442  ","光聖            ","175,000","104,000","71,000","0","0","0","175,000","104,000","71,000",
" ","9945  ","潤泰新          ","1,610,627","1,541,000","69,627","0","0","0","1,610,627","1,541,000","69,627",
" ","1309  ","台達化          ","104,000","35,000","69,000","0","0","0","104,000","35,000","69,000",
" ","2444  ","兆勁            ","94,000","25,000","69,000","0","0","0","94,000","25,000","69,000",
" ",="035656","鴻海法興28購01  ","68,000","0","68,000","0","0","0","68,000","0","68,000",
" ","1342  ","八貫            ","103,000","36,000","67,000","0","0","0","103,000","36,000","67,000",
" ","1701  ","中化            ","926,000","859,000","67,000","0","0","0","926,000","859,000","67,000",
" ","8341  ","日友            ","83,000","16,000","67,000","0","0","0","83,000","16,000","67,000",
" ","3023  ","信邦            ","245,000","180,000","65,000","0","0","0","245,000","180,000","65,000",
" ","2102  ","泰豐            ","65,000","1,000","64,000","0","0","0","65,000","1,000","64,000",
" ","2809  ","京城銀          ","132,000","68,000","64,000","0","0","0","132,000","68,000","64,000",
" ","3006  ","晶豪科          ","1,345,000","1,281,000","64,000","0","0","0","1,345,000","1,281,000","64,000",
" ","1590  ","亞德客-KY       ","489,588","425,896","63,692","0","0","0","489,588","425,896","63,692",
" ","2017  ","官田鋼          ","140,000","77,000","63,000","0","0","0","140,000","77,000","63,000",
" ","2363  ","矽統            ","176,000","113,000","63,000","0","0","0","176,000","113,000","63,000",
" ","3058  ","立德            ","252,000","189,000","63,000","0","0","0","252,000","189,000","63,000",
" ","4133  ","亞諾法          ","70,000","7,000","63,000","0","0","0","70,000","7,000","63,000",
" ",="038922","啟碁法興29購01  ","82,000","20,000","62,000","0","0","0","82,000","20,000","62,000",
" ","3041  ","揚智            ","116,000","55,000","61,000","0","0","0","116,000","55,000","61,000",
" ","4119  ","旭富            ","93,000","33,000","60,000","0","0","0","93,000","33,000","60,000",
" ","6128  ","上福            ","72,000","12,000","60,000","0","0","0","72,000","12,000","60,000",
" ",="00710B","復華彭博非投等債","68,000","9,000","59,000","0","0","0","68,000","9,000","59,000",
" ",="046682","聯發科法興2B購04","59,000","0","59,000","0","0","0","59,000","0","59,000",
" ","6438  ","迅得            ","130,000","71,000","59,000","0","0","0","130,000","71,000","59,000",
" ","2387  ","精元            ","96,000","38,000","58,000","0","0","0","96,000","38,000","58,000",
" ","6585  ","鼎基            ","116,000","59,000","57,000","0","0","0","116,000","59,000","57,000",
" ","1451  ","年興            ","90,000","34,000","56,000","0","0","0","90,000","34,000","56,000",
" ","2022  ","聚亨            ","108,000","53,000","55,000","0","0","0","108,000","53,000","55,000",
" ","5258  ","虹堡            ","1,437,000","1,382,000","55,000","0","0","0","1,437,000","1,382,000","55,000",
" ","2207  ","和泰車          ","259,776","207,000","52,776","0","0","0","259,776","207,000","52,776",
" ","2471  ","資通            ","205,000","152,490","52,510","0","0","0","205,000","152,490","52,510",
" ","3308  ","聯德            ","263,000","211,000","52,000","0","0","0","263,000","211,000","52,000",
" ","3702  ","大聯大          ","876,250","824,298","51,952","0","0","0","876,250","824,298","51,952",
" ","1234  ","黑松            ","112,000","61,000","51,000","0","0","0","112,000","61,000","51,000",
" ","2701  ","萬企            ","117,000","66,000","51,000","0","0","0","117,000","66,000","51,000",
" ","3588  ","通嘉            ","67,000","16,000","51,000","0","0","0","67,000","16,000","51,000",
" ","3504  ","揚明光          ","95,000","44,165","50,835","0","0","0","95,000","44,165","50,835",
" ",="043499","陽明群益2B購02  ","50,000","0","50,000","0","0","0","50,000","0","50,000",
" ",="045531","日月光法興2B購02","50,000","0","50,000","0","0","0","50,000","0","50,000",
" ","6139  ","亞翔            ","603,000","553,000","50,000","0","0","0","603,000","553,000","50,000",
" ","2337  ","旺宏            ","3,319,000","3,269,340","49,660","0","0","0","3,319,000","3,269,340","49,660",
" ",="037092","鴻海法興28購02  ","73,000","25,000","48,000","0","0","0","73,000","25,000","48,000",
" ",="041686","世紀鋼法興2A購01","78,000","30,000","48,000","0","0","0","78,000","30,000","48,000",
" ",="043057","景碩法興2A購01  ","188,000","140,000","48,000","0","0","0","188,000","140,000","48,000",
" ","3605  ","宏致            ","120,000","72,000","48,000","0","0","0","120,000","72,000","48,000",
" ","6277  ","宏正            ","73,000","25,000","48,000","0","0","0","73,000","25,000","48,000",
" ","2305  ","全友            ","82,000","34,606","47,394","0","0","0","82,000","34,606","47,394",
" ",="00920 ","富邦ESG綠色電力 ","51,000","4,000","47,000","0","0","0","51,000","4,000","47,000",
" ","1783  ","和康生          ","533,000","487,000","46,000","0","0","0","533,000","487,000","46,000",
" ","6698  ","旭暉應材        ","60,000","14,000","46,000","0","0","0","60,000","14,000","46,000",
" ",="00737 ","國泰AI+Robo     ","63,000","18,000","45,000","0","0","0","63,000","18,000","45,000",
" ","8028  ","昇陽半導體      ","134,000","89,000","45,000","0","0","0","134,000","89,000","45,000",
" ",="044683","日月光法興2B購01","69,000","25,000","44,000","0","0","0","69,000","25,000","44,000",
" ","2015  ","豐興            ","102,000","58,000","44,000","0","0","0","102,000","58,000","44,000",
" ","9942  ","茂順            ","178,000","134,000","44,000","0","0","0","178,000","134,000","44,000",
" ","3533  ","嘉澤            ","459,040","416,038","43,002","0","0","0","459,040","416,038","43,002",
" ","4720  ","德淵            ","47,000","4,000","43,000","0","0","0","47,000","4,000","43,000",
" ","3049  ","和鑫            ","1,024,000","982,000","42,000","0","0","0","1,024,000","982,000","42,000",
" ","3376  ","新日興          ","84,000","42,000","42,000","0","0","0","84,000","42,000","42,000",
" ","6668  ","中揚光          ","135,000","93,000","42,000","0","0","0","135,000","93,000","42,000",
" ",="038952","SGBR2X永豐29購01","40,000","0","40,000","0","0","0","40,000","0","40,000",
" ",="00653L","富邦印度正2     ","47,000","8,000","39,000","0","0","0","47,000","8,000","39,000",
" ",="031552","啟碁法興28購01  ","100,000","61,000","39,000","0","0","0","100,000","61,000","39,000",
" ","1604  ","聲寶            ","40,000","1,000","39,000","0","0","0","40,000","1,000","39,000",
" ","3002  ","歐格            ","97,000","58,000","39,000","0","0","0","97,000","58,000","39,000",
" ","1906  ","寶隆            ","54,000","16,000","38,000","0","0","0","54,000","16,000","38,000",
" ","1537  ","廣隆            ","38,000","1,000","37,000","0","0","0","38,000","1,000","37,000",
" ","1582  ","信錦            ","38,000","1,000","37,000","0","0","0","38,000","1,000","37,000",
" ","4551  ","智伸科          ","171,000","134,000","37,000","0","0","0","171,000","134,000","37,000",
" ","4566  ","時碩工業        ","342,000","305,000","37,000","0","0","0","342,000","305,000","37,000",
" ","8261  ","富鼎            ","89,000","52,000","37,000","0","0","0","89,000","52,000","37,000",
" ","2484  ","希華            ","123,000","87,000","36,000","0","0","0","123,000","87,000","36,000",
" ","4770  ","上品            ","70,000","34,000","36,000","0","0","0","70,000","34,000","36,000",
" ","9938  ","百和            ","114,000","78,217","35,783","0","0","0","114,000","78,217","35,783",
" ","3016  ","嘉晶            ","86,000","51,000","35,000","0","0","0","86,000","51,000","35,000",
" ","3090  ","日電貿          ","230,000","195,000","35,000","0","0","0","230,000","195,000","35,000",
" ","2548  ","華固            ","197,095","163,000","34,095","0","0","0","197,095","163,000","34,095",
" ",="00683L","期元大美元指正2 ","44,000","10,000","34,000","0","0","0","44,000","10,000","34,000",
" ","1539  ","巨庭            ","42,000","8,000","34,000","0","0","0","42,000","8,000","34,000",
" ","1806  ","冠軍            ","291,000","257,000","34,000","0","0","0","291,000","257,000","34,000",
" ","2497  ","怡利電          ","122,000","88,000","34,000","0","0","0","122,000","88,000","34,000",
" ","1217  ","愛之味          ","323,000","290,000","33,000","0","0","0","323,000","290,000","33,000",
" ","5484  ","慧友            ","35,000","2,000","33,000","0","0","0","35,000","2,000","33,000",
" ","1417  ","嘉裕            ","407,000","375,000","32,000","0","0","0","407,000","375,000","32,000",
" ","2538  ","基泰            ","68,000","36,000","32,000","0","0","0","68,000","36,000","32,000",
" ","3052  ","夆典            ","63,000","31,000","32,000","0","0","0","63,000","31,000","32,000",
" ","6213  ","聯茂            ","272,000","240,000","32,000","0","0","0","272,000","240,000","32,000",
" ","6799  ","來頡            ","226,000","194,000","32,000","0","0","0","226,000","194,000","32,000",
" ",="00770 ","國泰北美科技    ","32,000","1,000","31,000","0","0","0","32,000","1,000","31,000",
" ",="0051  ","元大中型100     ","39,000","9,000","30,000","0","0","0","39,000","9,000","30,000",
" ",="00680L","元大美債20正2   ","98,000","68,000","30,000","0","0","0","98,000","68,000","30,000",
" ",="00875 ","國泰網路資安    ","60,000","30,000","30,000","0","0","0","60,000","30,000","30,000",
" ",="042674","飛宏凱基2B購03  ","30,000","0","30,000","0","0","0","30,000","0","30,000",
" ","2228  ","劍麟            ","68,000","38,000","30,000","0","0","0","68,000","38,000","30,000",
" ","4739  ","康普            ","59,514","30,000","29,514","0","0","0","59,514","30,000","29,514",
" ",="00701 ","國泰股利精選30  ","38,000","9,000","29,000","0","0","0","38,000","9,000","29,000",
" ","2007  ","燁興            ","105,000","76,000","29,000","0","0","0","105,000","76,000","29,000",
" ","2430  ","燦坤            ","32,000","4,000","28,000","0","0","0","32,000","4,000","28,000",
" ","6226  ","光鼎            ","45,000","17,000","28,000","0","0","0","45,000","17,000","28,000",
" ","6830  ","汎銓            ","88,000","60,000","28,000","0","0","0","88,000","60,000","28,000",
" ","6756  ","威鋒電子        ","59,100","32,000","27,100","0","0","0","59,100","32,000","27,100",
" ","2247  ","汎德永業        ","91,000","64,000","27,000","0","0","0","91,000","64,000","27,000",
" ","6136  ","富爾特          ","42,000","15,000","27,000","0","0","0","42,000","15,000","27,000",
" ","6592  ","和潤企業        ","192,000","165,500","26,500","0","0","0","192,000","165,500","26,500",
" ",="00915 ","凱基優選高股息30","37,000","11,000","26,000","0","0","0","37,000","11,000","26,000",
" ","3705  ","永信            ","74,000","48,000","26,000","0","0","0","74,000","48,000","26,000",
" ","4142  ","國光生          ","241,000","215,000","26,000","0","0","0","241,000","215,000","26,000",
" ","4190  ","佐登-KY         ","66,000","40,000","26,000","0","0","0","66,000","40,000","26,000",
" ","1231  ","聯華食          ","143,030","117,331","25,699","0","0","0","143,030","117,331","25,699",
" ","6235  ","華孚            ","210,000","184,437","25,563","0","0","0","210,000","184,437","25,563",
" ","1305  ","華夏            ","159,000","134,000","25,000","0","0","0","159,000","134,000","25,000",
" ","2236  ","百達-KY         ","302,000","277,000","25,000","0","0","0","302,000","277,000","25,000",
" ","2929  ","淘帝-KY         ","70,000","45,000","25,000","0","0","0","70,000","45,000","25,000",
" ","3048  ","益登            ","48,000","23,000","25,000","0","0","0","48,000","23,000","25,000",
" ","6695  ","芯鼎            ","76,000","51,000","25,000","0","0","0","76,000","51,000","25,000",
" ","9902  ","台火            ","34,000","9,000","25,000","0","0","0","34,000","9,000","25,000",
" ","4919  ","新唐            ","437,000","413,000","24,000","0","0","0","437,000","413,000","24,000",
" ","9930  ","中聯資源        ","35,000","11,000","24,000","0","0","0","35,000","11,000","24,000",
" ","5534  ","長虹            ","71,562","48,000","23,562","0","0","0","71,562","48,000","23,562",
" ","2483  ","百容            ","34,000","11,000","23,000","0","0","0","34,000","11,000","23,000",
" ","4581  ","光隆精密-KY     ","62,000","39,000","23,000","0","0","0","62,000","39,000","23,000",
" ","9935  ","慶豐富          ","25,000","2,000","23,000","0","0","0","25,000","2,000","23,000",
" ",="00640L","富邦日本正2     ","84,000","62,000","22,000","0","0","0","84,000","62,000","22,000",
" ",="033124","儒鴻法興27購01  ","22,000","0","22,000","0","0","0","22,000","0","22,000",
" ","2029  ","盛餘            ","34,000","12,000","22,000","0","0","0","34,000","12,000","22,000",
" ","8039  ","台虹            ","44,000","22,000","22,000","0","0","0","44,000","22,000","22,000",
" ","1446  ","宏和            ","52,000","31,000","21,000","0","0","0","52,000","31,000","21,000",
" ","6869  ","雲豹能源-創     ","33,000","12,000","21,000","0","0","0","33,000","12,000","21,000",
" ",="00651R","復華香港反1     ","20,000","0","20,000","0","0","0","20,000","0","20,000",
" ",="00690 ","兆豐藍籌30      ","80,000","60,000","20,000","0","0","0","80,000","60,000","20,000",
" ",="04441U","臺股指法興28售07","80,000","60,000","20,000","0","0","0","80,000","60,000","20,000",
" ",="044676","鴻海法興2B購04  ","20,000","0","20,000","0","0","0","20,000","0","20,000",
" ",="045521","鴻海法興2B購07  ","20,000","0","20,000","0","0","0","20,000","0","20,000",
" ",="048198","建準元大31購05  ","20,000","0","20,000","0","0","0","20,000","0","20,000",
" ","1339  ","昭輝            ","26,000","6,000","20,000","0","0","0","26,000","6,000","20,000",
" ","2397  ","友通            ","37,000","17,000","20,000","0","0","0","37,000","17,000","20,000",
" ","2546  ","根基            ","30,000","10,000","20,000","0","0","0","30,000","10,000","20,000",
" ","4935  ","茂林-KY         ","24,000","4,000","20,000","0","0","0","24,000","4,000","20,000",
" ","6835  ","圓裕            ","40,000","20,000","20,000","0","0","0","40,000","20,000","20,000",
" ","3535  ","晶彩科          ","29,000","10,000","19,000","0","0","0","29,000","10,000","19,000",
" ",="00916 ","國泰全球品牌50  ","18,160","0","18,160","0","0","0","18,160","0","18,160",
" ",="044006","聯發科法興2B購01","277,000","259,000","18,000","0","0","0","277,000","259,000","18,000",
" ","2365  ","昆盈            ","221,000","203,000","18,000","0","0","0","221,000","203,000","18,000",
" ","4961  ","天鈺            ","518,000","500,000","18,000","0","0","0","518,000","500,000","18,000",
" ","8404  ","百和興業-KY     ","19,000","1,000","18,000","0","0","0","19,000","1,000","18,000",
" ",="00652 ","富邦印度        ","20,000","3,000","17,000","0","0","0","20,000","3,000","17,000",
" ",="00921 ","兆豐龍頭等權重  ","43,000","26,000","17,000","0","0","0","43,000","26,000","17,000",
" ",="049571","聚陽元大2C購01  ","17,000","0","17,000","0","0","0","17,000","0","17,000",
" ",="06266U","全訊群益2C售01  ","17,000","0","17,000","0","0","0","17,000","0","17,000",
" ","2547  ","日勝生          ","57,000","40,000","17,000","0","0","0","57,000","40,000","17,000",
" ","2820  ","華票            ","77,000","60,000","17,000","0","0","0","77,000","60,000","17,000",
" ","3138  ","耀登            ","37,000","20,000","17,000","0","0","0","37,000","20,000","17,000",
" ","6164  ","華興            ","69,000","52,000","17,000","0","0","0","69,000","52,000","17,000",
" ","9925  ","新保            ","36,000","19,000","17,000","0","0","0","36,000","19,000","17,000",
" ",="00733 ","富邦臺灣中小    ","89,000","73,000","16,000","0","0","0","89,000","73,000","16,000",
" ","1423  ","利華            ","26,000","10,000","16,000","0","0","0","26,000","10,000","16,000",
" ","2034  ","允強            ","90,000","74,000","16,000","0","0","0","90,000","74,000","16,000",
" ","4934  ","太極            ","72,000","56,000","16,000","0","0","0","72,000","56,000","16,000",
" ","5007  ","三星            ","43,000","27,000","16,000","0","0","0","43,000","27,000","16,000",
"*","2360  ","致茂            ","821,500","806,000","15,500","0","0","0","821,500","806,000","15,500",
" ",="00693U","期街口S&P黃豆   ","18,000","3,000","15,000","0","0","0","18,000","3,000","15,000",
" ",="043812","緯穎元大31購04  ","15,000","0","15,000","0","0","0","15,000","0","15,000",
" ",="044681","開發金法興32購01","172,000","157,000","15,000","0","0","0","172,000","157,000","15,000",
" ",="05807U","臺股指法興2A售11","40,000","25,000","15,000","0","0","0","40,000","25,000","15,000",
" ","1516  ","川飛            ","31,000","16,000","15,000","0","0","0","31,000","16,000","15,000",
" ","1712  ","興農            ","128,000","113,000","15,000","0","0","0","128,000","113,000","15,000",
" ","3026  ","禾伸堂          ","32,000","17,000","15,000","0","0","0","32,000","17,000","15,000",
" ","6192  ","巨路            ","18,000","3,000","15,000","0","0","0","18,000","3,000","15,000",
" ","6491  ","晶碩            ","121,000","106,000","15,000","0","0","0","121,000","106,000","15,000",
" ",="05806U","臺股指法興2A售10","244,000","230,000","14,000","0","0","0","244,000","230,000","14,000",
" ","2440  ","太空梭          ","14,000","0","14,000","0","0","0","14,000","0","14,000",
" ","2852  ","第一保          ","21,000","7,000","14,000","0","0","0","21,000","7,000","14,000",
" ","6230  ","尼得科超眾      ","53,000","39,000","14,000","0","0","0","53,000","39,000","14,000",
" ","1524  ","耿鼎            ","138,000","125,000","13,000","0","0","0","138,000","125,000","13,000",
" ","2032  ","新鋼            ","20,000","7,000","13,000","0","0","0","20,000","7,000","13,000",
" ","2438  ","翔耀            ","20,000","7,000","13,000","0","0","0","20,000","7,000","13,000",
" ","3419  ","譁裕            ","172,000","159,000","13,000","0","0","0","172,000","159,000","13,000",
" ","6807  ","峰源-KY         ","13,000","0","13,000","0","0","0","13,000","0","13,000",
" ",="040649","台表科法興2A購01","48,000","36,000","12,000","0","0","0","48,000","36,000","12,000",
" ","1517  ","利奇            ","27,000","15,000","12,000","0","0","0","27,000","15,000","12,000",
" ","2466  ","冠西電          ","12,000","0","12,000","0","0","0","12,000","0","12,000",
" ","2712  ","遠雄來          ","27,000","15,000","12,000","0","0","0","27,000","15,000","12,000",
" ","3432  ","台端            ","24,000","12,000","12,000","0","0","0","24,000","12,000","12,000",
" ","4766  ","南寶            ","93,000","81,000","12,000","0","0","0","93,000","81,000","12,000",
" ","4930  ","燦星網          ","13,000","1,000","12,000","0","0","0","13,000","1,000","12,000",
" ",="00909 ","國泰數位支付服務","13,000","2,000","11,000","0","0","0","13,000","2,000","11,000",
" ",="040235","台積電法興29購02","11,000","0","11,000","0","0","0","11,000","0","11,000",
" ",="047232","長榮航法興2C購01","31,000","20,000","11,000","0","0","0","31,000","20,000","11,000",
" ","2231  ","為升            ","57,000","46,000","11,000","0","0","0","57,000","46,000","11,000",
" ","2243  ","宏旭-KY         ","21,000","10,000","11,000","0","0","0","21,000","10,000","11,000",
" ","3057  ","喬鼎            ","13,000","2,000","11,000","0","0","0","13,000","2,000","11,000",
" ","4438  ","廣越            ","20,000","9,000","11,000","0","0","0","20,000","9,000","11,000",
" ","6108  ","競國            ","30,000","19,000","11,000","0","0","0","30,000","19,000","11,000",
" ","6598  ","ABC-KY          ","11,000","0","11,000","0","0","0","11,000","0","11,000",
" ","6782  ","視陽            ","84,000","73,000","11,000","0","0","0","84,000","73,000","11,000",
" ","9906  ","欣巴巴          ","17,000","6,000","11,000","0","0","0","17,000","6,000","11,000",
" ",="00664R","國泰臺灣加權反1 ","10,000","0","10,000","0","0","0","10,000","0","10,000",
" ",="043698","迅得元大2B購01  ","10,000","0","10,000","0","0","0","10,000","0","10,000",
" ",="04442U","臺股指法興28售08","57,000","47,000","10,000","0","0","0","57,000","47,000","10,000",
" ",="048408","華擎元富33購02  ","10,000","0","10,000","0","0","0","10,000","0","10,000",
" ",="05678U","台積電元大2A售39","10,000","0","10,000","0","0","0","10,000","0","10,000",
" ","1110  ","東泥            ","23,000","13,000","10,000","0","0","0","23,000","13,000","10,000",
" ","1321  ","大洋            ","13,000","3,000","10,000","0","0","0","13,000","3,000","10,000",
" ","2233  ","宇隆            ","25,000","15,000","10,000","0","0","0","25,000","15,000","10,000",
" ","2455  ","全新            ","955,000","945,000","10,000","0","0","0","955,000","945,000","10,000",
" ","1526  ","日馳            ","12,000","3,000","9,000","0","0","0","12,000","3,000","9,000",
" ","2528  ","皇普            ","45,000","36,000","9,000","0","0","0","45,000","36,000","9,000",
" ","4576  ","大銀微系統      ","11,000","2,000","9,000","0","0","0","11,000","2,000","9,000",
" ","4956  ","光鋐            ","16,000","7,000","9,000","0","0","0","16,000","7,000","9,000",
" ","5288  ","豐祥-KY         ","23,000","14,000","9,000","0","0","0","23,000","14,000","9,000",
" ","5471  ","松翰            ","34,000","25,000","9,000","0","0","0","34,000","25,000","9,000",
" ","6670  ","復盛應用        ","126,000","117,000","9,000","0","0","0","126,000","117,000","9,000",
" ","6754  ","匯僑設計        ","13,000","4,000","9,000","0","0","0","13,000","4,000","9,000",
" ",="00896 ","中信綠能及電動車","87,000","79,000","8,000","0","0","0","87,000","79,000","8,000",
" ",="038216","中磊永豐2A購01  ","8,000","0","8,000","0","0","0","8,000","0","8,000",
" ","1436  ","華友聯          ","8,000","0","8,000","0","0","0","8,000","0","8,000",
" ","1725  ","元禎            ","8,000","0","8,000","0","0","0","8,000","0","8,000",
" ","2109  ","華豐            ","18,000","10,000","8,000","0","0","0","18,000","10,000","8,000",
" ","2431  ","聯昌            ","60,000","52,000","8,000","0","0","0","60,000","52,000","8,000",
" ","2480  ","敦陽科          ","100,000","92,000","8,000","0","0","0","100,000","92,000","8,000",
" ","2505  ","國揚            ","21,000","13,000","8,000","0","0","0","21,000","13,000","8,000",
" ","3011  ","今皓            ","951,000","943,000","8,000","0","0","0","951,000","943,000","8,000",
" ","2468  ","華經            ","62,000","54,951","7,049","0","0","0","62,000","54,951","7,049",
" ","2881C ","富邦金丙特      ","8,000","975","7,025","0","0","0","8,000","975","7,025",
" ",="006207","復華滬深        ","15,000","8,000","7,000","0","0","0","15,000","8,000","7,000",
" ","1614  ","三洋電          ","19,000","12,000","7,000","0","0","0","19,000","12,000","7,000",
" ","2062  ","橋椿            ","9,000","2,000","7,000","0","0","0","9,000","2,000","7,000",
" ","2241  ","艾姆勒          ","24,000","17,000","7,000","0","0","0","24,000","17,000","7,000",
" ","3060  ","銘異            ","32,000","25,000","7,000","0","0","0","32,000","25,000","7,000",
" ","4755  ","三福化          ","86,000","79,000","7,000","0","0","0","86,000","79,000","7,000",
" ","6117  ","迎廣            ","9,000","2,000","7,000","0","0","0","9,000","2,000","7,000",
" ","6202  ","盛群            ","283,000","276,000","7,000","0","0","0","283,000","276,000","7,000",
" ","6288  ","聯嘉            ","562,000","555,000","7,000","0","0","0","562,000","555,000","7,000",
" ","6525  ","捷敏-KY         ","17,000","10,000","7,000","0","0","0","17,000","10,000","7,000",
" ","8103  ","瀚荃            ","11,000","4,000","7,000","0","0","0","11,000","4,000","7,000",
" ","9110  ","越南控-DR       ","11,000","4,000","7,000","0","0","0","11,000","4,000","7,000",
" ","9908  ","大台北          ","11,000","4,000","7,000","0","0","0","11,000","4,000","7,000",
" ","9924  ","福興            ","9,997","3,000","6,997","0","0","0","9,997","3,000","6,997",
" ",="00926 ","凱基全球菁英55  ","6,000","0","6,000","0","0","0","6,000","0","6,000",
" ","1325  ","恆大            ","21,000","15,000","6,000","0","0","0","21,000","15,000","6,000",
" ","1338  ","廣華-KY         ","13,000","7,000","6,000","0","0","0","13,000","7,000","6,000",
" ","1464  ","得力            ","46,000","40,000","6,000","0","0","0","46,000","40,000","6,000",
" ","2424  ","隴華            ","6,000","0","6,000","0","0","0","6,000","0","6,000",
" ","2488  ","漢平            ","6,000","0","6,000","0","0","0","6,000","0","6,000",
" ","3686  ","達能            ","9,000","3,000","6,000","0","0","0","9,000","3,000","6,000",
" ","6666  ","羅麗芬-KY       ","9,000","3,000","6,000","0","0","0","9,000","3,000","6,000",
" ",="00643 ","群益深証中小    ","5,000","0","5,000","0","0","0","5,000","0","5,000",
" ",="00762 ","元大全球AI      ","5,000","0","5,000","0","0","0","5,000","0","5,000",
" ",="030156","南電元大2B購04  ","5,000","0","5,000","0","0","0","5,000","0","5,000",
" ",="040237","友達法興29購01  ","166,000","161,000","5,000","0","0","0","166,000","161,000","5,000",
" ",="041677","中砂法興2A購01  ","5,000","0","5,000","0","0","0","5,000","0","5,000",
" ",="045528","大立光法興2B購01","49,000","44,000","5,000","0","0","0","49,000","44,000","5,000",
" ",="046111","世芯凱基2B購12  ","5,000","0","5,000","0","0","0","5,000","0","5,000",
" ","1455  ","集盛            ","18,000","13,000","5,000","0","0","0","18,000","13,000","5,000",
